symbol,timestamp_utc,timestamp_et,trade_date_et,time_et,open,high,low,close,volume,trade_count,vwap,timeframe,feed
AMC,2025-12-15T14:30:00Z,2025-12-15 09:30:00-0500,2025-12-15,09:30:00,2.08,2.11,2.04,2.0499,1167501,3181,2.063368,5Min,sip
AMC,2025-12-15T14:35:00Z,2025-12-15 09:35:00-0500,2025-12-15,09:35:00,2.0469,2.05,2.03,2.0344,1115623,1425,2.041769,5Min,sip
AMC,2025-12-15T14:40:00Z,2025-12-15 09:40:00-0500,2025-12-15,09:40:00,2.04,2.04,2.01,2.025,801442,1430,2.022522,5Min,sip
AMC,2025-12-15T14:45:00Z,2025-12-15 09:45:00-0500,2025-12-15,09:45:00,2.0266,2.05,2.025,2.035,607430,1753,2.035771,5Min,sip
AMC,2025-12-15T14:50:00Z,2025-12-15 09:50:00-0500,2025-12-15,09:50:00,2.035,2.04,2.0243,2.0397,550274,1048,2.032237,5Min,sip
AMC,2025-12-15T14:55:00Z,2025-12-15 09:55:00-0500,2025-12-15,09:55:00,2.037,2.06,2.03,2.0467,790633,1076,2.047329,5Min,sip
AMC,2025-12-15T15:00:00Z,2025-12-15 10:00:00-0500,2025-12-15,10:00:00,2.045,2.05,2.03,2.0382,449566,988,2.040908,5Min,sip
AMC,2025-12-15T15:05:00Z,2025-12-15 10:05:00-0500,2025-12-15,10:05:00,2.035,2.05,2.0335,2.0403,316439,862,2.04218,5Min,sip
AMC,2025-12-15T15:10:00Z,2025-12-15 10:10:00-0500,2025-12-15,10:10:00,2.0444,2.05,2.03,2.0427,387001,707,2.041785,5Min,sip
AMC,2025-12-15T15:15:00Z,2025-12-15 10:15:00-0500,2025-12-15,10:15:00,2.045,2.05,2.03,2.035,191074,715,2.039588,5Min,sip
AMC,2025-12-15T15:20:00Z,2025-12-15 10:20:00-0500,2025-12-15,10:20:00,2.035,2.0499,2.02,2.025,234483,898,2.036164,5Min,sip
AMC,2025-12-15T15:25:00Z,2025-12-15 10:25:00-0500,2025-12-15,10:25:00,2.025,2.03,2.02,2.0278,974660,998,2.025713,5Min,sip
AMC,2025-12-15T15:30:00Z,2025-12-15 10:30:00-0500,2025-12-15,10:30:00,2.025,2.03,2.02,2.025,1034656,1134,2.028637,5Min,sip
AMC,2025-12-15T15:35:00Z,2025-12-15 10:35:00-0500,2025-12-15,10:35:00,2.03,2.03,2.02,2.025,195311,662,2.026334,5Min,sip
AMC,2025-12-15T15:40:00Z,2025-12-15 10:40:00-0500,2025-12-15,10:40:00,2.025,2.03,2.02,2.0277,731588,1135,2.022352,5Min,sip
AMC,2025-12-15T15:45:00Z,2025-12-15 10:45:00-0500,2025-12-15,10:45:00,2.025,2.03,2.02,2.025,376761,708,2.028019,5Min,sip
AMC,2025-12-15T15:50:00Z,2025-12-15 10:50:00-0500,2025-12-15,10:50:00,2.02,2.03,2.01,2.015,883631,994,2.021346,5Min,sip
AMC,2025-12-15T15:55:00Z,2025-12-15 10:55:00-0500,2025-12-15,10:55:00,2.015,2.03,2.01,2.025,549364,801,2.020236,5Min,sip
AMC,2025-12-15T16:00:00Z,2025-12-15 11:00:00-0500,2025-12-15,11:00:00,2.025,2.03,2.02,2.0299,69710,514,2.026309,5Min,sip
